Year,Rep/Lean Rep,Dem/Lean Dem,Men Rep/Lean Rep,Men Dem/Lean Dem,Women Rep/Lean Rep,Women Dem/Lean Dem,"White, non-Hispanic Rep/Lean Rep","White, non-Hispanic Dem/Lean Dem",Hispanic Rep/Lean Rep,Hispanic Dem/Lean Dem,"Black, non-Hispanic Rep/Lean Rep","Black, non-Hispanic Dem/Lean Dem","Asian, non-Hispanic Rep/Lean Rep","Asian, non-Hispanic Dem/Lean Dem",Urban Rep/Lean Rep,Urban Dem/Lean Dem,Suburban 'Rep/Lean Rep,Suburban Dem/Lean Dem,Rural Rep/Lean Rep,Rural Dem/Lean Dem,Born in 1940s Rep/Lean Rep,Born in 1940s Dem/Lean Dem,Born in 1950s Rep/Lean Rep,Born in 1950s Dem/Lean Dem,Born in 1960s Rep/Lean Rep,Born in 1960s Dem/Lean Dem,Born in 1970s Rep/Lean Rep,Born in 1970s Dem/Lean Dem,Born in 1980s Rep/Lean Rep,Born in 1980s Dem/Lean Dem,Born in 1990s Rep/Lean Rep,Born in 1990s Dem/Lean Dem,All Protestants Rep/Lean Rep,All Protestants Dem/Lean Dem,White evangelical Protestant Rep/Lean Rep,White evangelical Protestant Dem/Lean Dem,White nonevangelical Protestant Rep/Lean Rep,White nonevangelical Protestant Dem/Lean Dem,Black Protestant Rep/Lean Rep,Black Protestant Dem/Lean Dem,Hispanic Protestant* Rep/Lean Rep,Hispanic Protestant* Dem/Lean Dem,All catholics Rep/Lean Rep,All catholics Dem/Lean Dem,White Catholic Rep/Lean Rep,White Catholic Dem/Lean Dem,Hispanic Catholic Rep/Lean Rep,Hispanic Catholic Dem/Lean Dem,Latter-day Saint (Mormon)** Rep/Lean Rep,Latter-day Saint (Mormon)** Dem/Lean Dem,Jewish Rep/Lean Rep,Jewish Dem/Lean Dem,All unaffiliated Rep/Lean Rep,All unaffiliated Dem/Lean Dem,Atheist Rep/Lean Rep,Atheist Dem/Lean Dem,Agnostic Rep/Lean Rep,Agnostic Dem/Lean Dem,Nothing in particular Rep/Lean Rep,Nothing in particular Dem/Lean Dem
1994,51,47,56,42,46,52,55,42,,,13,86,,,,,,,,,50,47,52,45,55,43,50,48,,,,,54,44,65,33,55,43,13,86,,,47,51,49,48,,,,,26,72,38,58,,,,,,
1995,50,48,56,43,46,52,55,43,,,12,86,,,,,,,,,50,48,52,47,54,44,49,50,,,,,54,45,65,34,54,44,12,86,,,47,51,49,50,,,,,29,70,41,55,,,,,,
1996,48,51,53,45,43,55,53,46,,,10,89,,,,,,,,,48,50,48,50,51,47,45,54,,,,,52,47,65,34,52,46,9,89,,,44,54,46,52,,,,,29,70,36,62,,,,,,
1997,46,51,53,45,41,57,51,47,,,12,86,,,,,,,,,45,53,48,50,50,48,47,51,,,,,51,47,61,38,53,45,11,87,,,41,57,44,54,,,,,30,68,33,62,,,,,,
1998,46,51,51,47,42,56,51,46,,,12,86,38,58,,,,,,,47,51,44,53,49,48,47,50,,,,,50,47,62,35,52,45,12,87,,,42,55,45,53,,,67,30,27,72,31,65,,,,,,
1999,46,52,51,47,42,56,52,46,,,12,86,40,57,,,,,,,43,54,45,52,51,47,46,52,,,,,50,48,61,37,54,44,11,87,,,44,54,48,50,,,64,34,25,74,34,62,,,,,,
2000,47,49,53,44,42,54,53,43,,,11,87,44,50,39,58,50,47,51,45,47,50,47,50,52,45,48,49,,,,,51,47,63,35,53,45,12,87,,,44,53,48,50,,,,,20,78,38,57,,,,,,
2001,48,50,52,45,44,54,54,43,,,11,87,47,51,40,58,51,47,50,48,47,51,48,49,52,46,46,51,,,,,52,46,65,34,56,42,11,88,,,46,51,52,46,,,69,29,25,74,32,64,,,,,,
2002,49,48,54,43,45,52,56,41,,,10,88,44,52,42,56,53,45,51,47,48,50,49,49,54,44,49,49,,,,,53,45,67,31,55,42,9,89,,,47,50,52,45,,,74,25,25,74,38,58,,,,,,
2003,49,49,54,44,44,54,55,42,,,9,90,46,51,40,58,51,46,52,45,52,46,47,51,52,46,48,50,,,,,53,45,69,30,54,44,7,91,,,46,52,50,48,,,76,22,27,72,33,63,,,,,,
2004,48,50,52,46,43,54,55,44,,,10,88,31,67,39,59,50,48,51,47,48,50,48,50,52,46,47,51,,,,,53,46,69,29,53,45,10,89,,,45,53,50,48,,,73,25,25,74,30,67,,,,,,
2005,46,52,50,48,42,56,52,46,,,11,87,35,62,39,59,48,50,50,48,46,52,44,54,51,47,45,53,,,,,53,46,69,30,52,46,11,87,,,42,56,47,51,,,77,22,23,75,27,70,,,,,,
2006,45,53,49,48,41,57,51,47,32,65,12,86,41,56,39,59,47,50,51,47,45,52,43,55,47,50,46,52,41,57,,,50,48,67,31,49,49,11,87,,,43,55,46,52,,,77,22,27,72,28,68,,,,,,
2007,43,54,48,49,38,59,49,48,34,63,10,88,26,71,35,62,46,52,48,49,43,54,44,53,47,51,41,56,39,58,,,48,49,66,32,47,50,9,89,,,42,55,46,52,28,71,71,27,26,72,27,70,16,81,19,79,31,66
2008,43,55,48,50,38,60,50,48,30,69,7,92,33,65,36,62,45,53,49,49,45,52,43,55,46,52,43,55,34,64,,,49,49,69,30,49,48,6,93,,,41,57,45,53,,,76,21,23,75,28,69,21,76,20,78,31,66
